year,total_pop,males,females,births,deaths,couples_formed,breakups,active_couples,avg_children_per_woman
1,596,290,306,41,445,242,41,200,0.1340
2,691,336,355,106,11,32,44,182,0.4141
3,756,375,381,72,7,41,47,173,0.5669
4,789,400,389,46,13,34,27,176,0.6735
5,816,413,403,38,11,36,35,175,0.7320
6,825,419,406,24,15,28,40,162,0.7759
7,842,427,415,26,9,39,28,170,0.8096
8,850,428,422,22,14,31,28,168,0.8389
9,867,443,424,28,11,38,30,170,0.8915
10,875,444,431,18,10,36,36,170,0.9188
11,887,448,439,19,7,37,45,161,0.9408
12,893,455,438,19,13,36,32,161,0.9680
13,886,451,435,9,16,45,32,174,0.9908
14,879,449,430,6,13,82,43,211,1.0047
15,893,451,442,23,9,82,54,237,1.0181
16,903,459,444,25,15,68,49,250,1.0586
17,922,473,449,35,16,72,48,266,1.1069
18,959,496,463,48,11,58,61,260,1.1663
19,1002,518,484,52,9,68,62,262,1.2190
20,1026,525,501,35,11,64,52,268,1.2295
21,1043,534,509,28,11,65,49,280,1.2613
22,1074,548,526,49,18,67,57,285,1.3042
23,1093,565,528,27,8,79,49,310,1.3371
24,1118,584,534,43,18,60,65,296,1.3483
25,1149,600,549,47,16,57,67,282,1.3862
26,1163,608,555,30,16,60,51,289,1.4252
27,1178,618,560,28,13,81,62,304,1.4500
28,1178,618,560,19,19,78,74,301,1.4696
29,1179,623,556,18,17,74,66,303,1.4856
30,1194,630,564,29,14,67,71,296,1.5053
31,1198,633,565,28,24,91,69,312,1.5416
32,1219,642,577,35,14,82,64,327,1.5598
33,1226,643,583,25,18,87,73,335,1.5660
34,1258,660,598,49,17,94,87,341,1.5936
35,1280,674,606,39,17,103,84,353,1.6238
36,1299,679,620,35,16,84,77,354,1.6306
37,1309,674,635,31,21,96,81,362,1.6252
38,1331,683,648,43,21,109,81,384,1.6497
39,1363,706,657,52,20,87,80,386,1.6925
40,1402,731,671,53,14,88,94,371,1.7243
41,1404,732,672,21,19,90,82,375,1.7426
42,1412,734,678,30,22,84,82,364,1.7493
43,1423,734,689,36,25,114,90,381,1.7562
44,1428,739,689,24,19,91,71,397,1.7808
45,1453,756,697,41,16,79,92,380,1.7920
46,1449,750,699,14,18,116,80,412,1.8011
47,1459,759,700,34,24,91,77,420,1.8314
48,1462,762,700,24,21,89,81,421,1.8443
49,1478,765,713,34,18,92,82,427,1.8415
50,1509,777,732,47,16,102,106,417,1.8361
51,1524,782,742,32,17,115,102,424,1.8356
52,1538,786,752,32,18,130,97,450,1.8285
53,1568,805,763,43,13,93,89,448,1.8440
54,1582,809,773,34,20,118,102,457,1.8616
55,1609,820,789,45,18,110,105,457,1.8695
56,1622,823,799,28,15,125,99,476,1.8661
57,1644,836,808,41,19,113,106,478,1.8911
58,1661,840,821,32,15,114,108,476,1.8892
59,1670,843,827,30,21,119,95,490,1.9033
60,1684,845,839,42,28,111,118,470,1.9046
61,1710,858,852,41,15,138,113,493,1.9131
62,1717,869,848,32,25,133,108,509,1.9363
63,1734,873,861,36,19,115,101,514,1.9384
64,1743,880,863,29,20,127,129,502,1.9467
65,1759,893,866,33,17,137,110,523,1.9688
66,1783,910,873,47,23,135,107,542,1.9908
67,1815,931,884,50,18,130,104,560,1.9966
68,1854,949,905,50,11,104,126,533,1.9945
69,1868,961,907,39,25,126,108,543,2.0000
70,1892,978,914,47,23,126,130,531,2.0142
71,1892,982,910,29,29,136,122,537,2.0352
72,1899,987,912,36,29,138,120,544,2.0603
73,1919,995,924,38,18,126,109,556,2.0574
74,1935,1004,931,28,12,132,108,579,2.0602
75,1931,993,938,28,32,132,134,570,2.0586
76,1948,1006,942,37,20,141,131,571,2.0786
77,1969,1015,954,43,22,128,122,564,2.0776
78,1985,1016,969,41,25,151,136,570,2.0722
79,1991,1024,967,30,24,138,125,576,2.0796
80,2018,1035,983,55,28,135,110,591,2.0763
81,2028,1040,988,35,25,127,144,564,2.0597
82,2053,1050,1003,48,23,153,121,590,2.0588
83,2047,1049,998,21,27,141,145,579,2.0671
84,2065,1061,1004,45,27,144,123,584,2.0737
85,2083,1079,1004,48,30,145,119,595,2.0737
86,2098,1084,1014,37,22,141,142,585,2.0680
87,2098,1076,1022,27,27,140,105,608,2.0528
88,2111,1080,1031,40,27,133,130,603,2.0611
89,2114,1082,1032,29,26,140,121,615,2.0746
90,2115,1081,1034,33,32,143,127,616,2.0677
91,2132,1088,1044,43,26,133,135,606,2.0661
92,2146,1095,1051,37,23,167,155,609,2.0542
93,2171,1107,1064,52,27,164,123,642,2.0470
94,2186,1116,1070,44,29,140,136,633,2.0495
95,2201,1123,1078,37,22,136,118,642,2.0492
96,2212,1134,1078,43,32,154,139,645,2.0575
97,2223,1136,1087,42,31,144,132,646,2.0653
98,2256,1153,1103,57,24,163,144,654,2.0789
99,2265,1158,1107,36,27,151,153,643,2.0840
100,2295,1176,1119,48,18,148,134,650,2.0840
